question,a,b,c,d,answer
What is the capital of France?,Paris,London,Berlin,Rome,Paris
Which planet is known as the Red Planet?,Mars,Jupiter,Saturn,Venus,Mars
Who wrote "To Kill a Mockingbird"?,Harper Lee,J.K. Rowling,Ernest Hemingway,F. Scott Fitzgerald,Harper Lee
What is the chemical symbol for water?,H2O,CO2,O2,H2SO4,H2O
Who painted the Mona Lisa?,Leonardo da Vinci,Vincent van Gogh,Pablo Picasso,Michelangelo,Leonardo da Vinci
What is the currency of Japan?,Yen,Dollar,Euro,Pound,Yen
What is the largest mammal in the world?,Blue whale,Elephant,Giraffe,Hippopotamus,Blue whale
What is the square root of 144?,12,11,13,10,12
What is the capital of Japan?,Tokyo,Beijing,Seoul,Bangkok,Tokyo
Who wrote "Romeo and Juliet"?,William Shakespeare,Charles Dickens,Jane Austen,Mark Twain,William Shakespeare
What is the chemical symbol for gold?,Au,Ag,Fe,Cu,Au
Which country is known as the Land of the Rising Sun?,Japan,China,India,Korea,Japan
What is the largest ocean on Earth?,Pacific,Atlantic,Indian,Arctic,Pacific
Who invented the telephone?,Alexander Graham Bell,Thomas Edison,Albert Einstein,Isaac Newton,Alexander Graham Bell
What is the capital of Canada?,Ottawa,Toronto,Vancouver,Montreal,Ottawa
What is the chemical symbol for oxygen?,O,Oh,H,On,O
Who wrote "1984"?,George Orwell,Aldous Huxley,Ray Bradbury,J.R.R. Tolkien,George Orwell
What is the tallest mountain in the world?,Mount Everest,K2,Kangchenjunga,Lhotse,Mount Everest
What is the largest organ in the human body?,Skin,Heart,Liver,Brain,Skin
What is the chemical symbol for sodium?,Na,K,Fe,Cl,Na
What is the main ingredient in guacamole?,Avocado,Tomato,Onion,Cilantro,Avocado
What is the primary ingredient in hummus?,Chickpeas,Tahini,Olive oil,Lemon juice,Chickpeas
Who painted the Sistine Chapel ceiling?,Michelangelo,Leonardo da Vinci,Raphael,Vincent van Gogh,Michelangelo
What is the chemical symbol for carbon?,C,Co,Ca,Cu,C
What is the largest desert in the world?,Sahara,Arabian,Kalahari,Gobi,Sahara
What is the chemical symbol for iron?,Fe,Au,Ag,Cu,Fe
Who wrote "The Great Gatsby"?,F. Scott Fitzgerald,Ernest Hemingway,William Faulkner,John Steinbeck,F. Scott Fitzgerald
What is the largest planet in our solar system?,Jupiter,Saturn,Neptune,Mars,Jupiter
What is the chemical symbol for silver?,Ag,Au,Al,Cu,Ag
What is the tallest animal in the world?,Giraffe,Elephant,Rhinoceros,Hippopotamus,Giraffe
What is the chemical symbol for helium?,He,Hy,Hl,Hm,He
Who discovered penicillin?,Alexander Fleming,Marie Curie,Louis Pasteur,Jonas Salk,Alexander Fleming
What is the smallest country in the world?,Vatican City,Monaco,Andorra,Liechtenstein,Vatican City
What is the chemical symbol for potassium?,K,Ca,Mg,Na,K
What is the speed of light in a vacuum?,299,792,458 m/s, 300,000,000 m/s, 200,000,000 m/s,299,792,458 m/s
Who was the first woman to win a Nobel Prize?,Marie Curie,Rosalind Franklin,Dorothy Hodgkin,Barbara McClintock,Marie Curie
What is the chemical symbol for lead?,Pb,Pt,Pr,Pm,Pb
What is the largest bird in the world?,Ostrich,Emu,Penguin,Albatross,Ostrich
What is the chemical symbol for nitrogen?,N,O,Ne,Ni,N
What is the most widely spoken language in the world?,Mandarin Chinese,English,Spanish,Hindi,Mandarin Chinese
Who is credited with writing the first computer program?,Ada Lovelace,Alan Turing,Charles Babbage,Grace Hopper,Ada Lovelace
What is the chemical symbol for mercury?,Hg,He,Mg,Mn,Hg
What is the densest naturally occurring element?,Osmium,Iron,Gold,Lead,Osmium
What is the chemical symbol for copper?,Cu,Co,Cr,Ce,Cu
What is the largest reptile in the world?,Saltwater crocodile,Komodo dragon,Green anaconda,King cobra,Saltwater crocodile
What is the chemical symbol for tin?,Sn,Si,Sb,Sr,Sn
What is the main ingredient in a traditional Caesar salad?,Romaine lettuce,Croutons,Tomatoes,Chicken breast,Romaine lettuce
What is the chemical symbol for uranium?,U,Un,Us,Ur,U
What is the largest continent by land area?,Asia,Africa,North America,South America,Asia
What is the chemical symbol for silicon?,Si,Sn,Sg,Se,Si
What is the smallest bone in the human body?,Stapes,Incus,Malleus,Femur,Stapes
What is the chemical symbol for aluminum?,Al,Am,Au,Ag,Al
Who wrote "Pride and Prejudice"?,Jane Austen,Charlotte Bronte,Emily Bronte,Agatha Christie,Jane Austen
What is the chemical symbol for potassium iodide?,KI,KO,KM,KH,KI
What is the chemical symbol for bromine?,Br,Be,Ba,Bn,Br
What is the largest mammal on land?,African elephant,Hippopotamus,Rhino,Giraffe,African elephant
What is the chemical symbol for phosphorus?,P,Ph,Po,Pa,P
Who discovered electricity?,Benjamin Franklin,Thomas Edison,Michael Faraday,Nikola Tesla,Michael Faraday
What is the primary ingredient in beer?,Barley,Wheat,Rye,Hops,Barley
What is the chemical symbol for barium?,Ba,Bb,Bm,Bn,Ba
What is the largest organ in the human body?,Liver,Heart,Lungs,Brain,Liver
What is the chemical symbol for silver iodide?,AgI,AuI,CuI,PbI,AgI
What is the chemical symbol for potassium bromide?,KBr,KoBr,KMgBr,KHBr,KBr
What is the capital of Australia?,Canberra,Sydney,Melbourne,Brisbane,Can
